segment,factor,weight,variance_share
soybean,clim_pr_annual,0.22,0.0
soybean,terr_slope,0.22,0.935
soybean,soil_ph,0.15,0.0
soybean,clim_twarm_q,0.15,0.0
soybean,clim_aridity,0.13,-0.0
soybean,soil_clay,0.13,0.065
sugarcane,clim_pr_annual,0.2,0.0
sugarcane,terr_slope,0.18,0.592
sugarcane,clim_twarm_q,0.18,-0.002
sugarcane,clim_dry_months,0.16,0.0
sugarcane,soil_awc,0.14,-0.0
sugarcane,soil_clay,0.14,0.41
other_crops,clim_pr_annual,0.2,0.0
other_crops,clim_pr_cv,0.18,0.006
other_crops,terr_slope,0.18,1.003
other_crops,clim_gdd,0.15,-0.001
other_crops,soil_ph,0.15,-0.002
other_crops,soil_soc,0.14,-0.006
pisciculture,soil_clay,0.24,-0.013
pisciculture,sit_water_dist_seas,0.22,0.456
pisciculture,terr_slope,0.2,0.327
pisciculture,clim_twarm_q,0.18,0.008
pisciculture,water_drain_density,0.16,0.221
cattle,clim_pr_annual,0.1,0.0
cattle,clim_dry_months,0.08,-0.0
cattle,clim_soil_moist,0.28,0.582
cattle,terr_slope,0.2,0.164
cattle,soil_soc,0.34,0.254
conservation,cv_pa_dist,0.2,0.429
conservation,clim_aridity,0.15,0.003
conservation,cv_ruggedness,0.13,0.21
conservation,terr_twi,0.11,-0.019
conservation,cv_carbon,0.1,0.038
conservation,water_drain_density,0.09,0.081
conservation,clim_twarm_q,0.09,0.024
conservation,rl_native_frac,0.08,0.156
conservation,terr_slope,0.05,0.078
solar,clim_srad,0.26,0.459
solar,sit_clearness,0.2,0.382
solar,terr_slope,0.18,0.099
solar,clim_twarm_q,0.14,-0.008
solar,access_logtt,0.14,0.003
solar,terr_northing,0.08,0.066
