NM_MUN,SIGLA_UF,delta_cattle,delta_conservation,delta_other_crops,delta_pisciculture,delta_solar,delta_soybean,delta_sugarcane,suit_cattle,suit_conservation,suit_other_crops,suit_pisciculture,suit_solar,suit_soybean,suit_sugarcane,underused_other_crops,underused_pisciculture,underused_soybean,underused_sugarcane,zone
Santa Isabel,GO,0.0,-0.0865,-0.059,0.0011,-0.052,0.0,0.0,0.6599,0.3657,0.5291,0.255,0.4359,0.6416,0.7219,0.6621,0.1679,0.6626,0.5708,5
Itajá,GO,0.0,-0.0726,-0.0335,0.0077,-0.0018,0.0,-0.0005,0.081,0.3642,0.5454,0.2277,0.0215,0.5343,0.4529,0.7661,0.1603,0.6762,0.4726,3
Aurilândia,GO,0.0,-0.0819,-0.0608,0.0004,-0.0395,0.0,0.0,0.6966,0.4304,0.5409,0.0954,0.3193,0.6222,0.6893,0.6759,0.0417,0.6671,0.7379,7
Santa Fé de Goiás,GO,0.0,-0.089,-0.101,0.0,-0.0774,-0.0132,0.0,0.4941,0.4491,0.5221,0.241,0.3161,0.4886,0.418,0.7229,0.1045,0.5583,0.4507,5
Itapuranga,GO,0.0,-0.0866,-0.06,0.0004,-0.0465,-0.0001,0.0,0.6481,0.4503,0.4818,0.2107,0.3537,0.5657,0.6426,0.61,0.143,0.6252,0.6771,4
Santa Cruz de Goiás,GO,0.0,-0.078,-0.0158,0.0065,-0.0234,0.0,0.0,0.6498,0.4835,0.4268,0.1233,0.281,0.5431,0.5966,0.5578,0.0243,0.3379,0.6113,1
Itapirapuã,GO,0.0,-0.0875,-0.0917,0.0,-0.0608,-0.0058,0.0,0.4468,0.4214,0.5411,0.2403,0.3335,0.4505,0.3533,0.8,0.1462,0.5456,0.3466,4
Avelinópolis,GO,0.0,-0.0823,-0.055,0.0054,-0.0426,0.0023,0.0,0.8541,0.4785,0.6688,0.2748,0.4104,0.7414,0.8281,0.7854,0.1406,0.7385,0.7961,2
Quirinópolis,GO,0.0,-0.0798,-0.0589,0.0051,-0.0165,0.0,0.0,0.109,0.29,0.6305,0.2776,0.1486,0.7549,0.7603,0.8188,0.1598,0.687,0.5711,8
Rialma,GO,0.0,-0.0863,-0.0577,0.0011,-0.0466,0.0,0.0,0.6289,0.4221,0.5099,0.3183,0.3823,0.6262,0.7093,0.6277,0.2414,0.6152,0.5593,6
Professor Jamil,GO,0.0,-0.0786,-0.0355,0.0065,-0.0302,0.0,0.0,0.7008,0.4369,0.5068,0.2374,0.3032,0.6027,0.7039,0.648,0.1869,0.6424,0.7418,7
Araguapaz,GO,0.0,-0.089,-0.0851,0.0,-0.0658,-0.0112,0.0,0.475,0.3906,0.427,0.1835,0.2769,0.4264,0.3168,0.6275,0.1333,0.5871,0.3586,4
Itaberaí,GO,0.0,-0.0841,-0.0594,0.003,-0.0465,0.0004,0.0,0.7922,0.4266,0.6167,0.2722,0.4152,0.6991,0.7725,0.7282,0.1324,0.5546,0.7684,3
Rio Verde,GO,0.0,-0.0824,-0.0398,0.0086,-0.0161,0.0021,0.0006,0.5084,0.3254,0.6421,0.2268,0.1687,0.7281,0.767,0.7601,0.116,0.2137,0.7514,6
Rio Quente,GO,0.0,-0.0775,-0.019,0.0042,-0.0214,0.0,0.0,0.6619,0.517,0.3712,0.1035,0.2379,0.4631,0.5515,0.4941,0.0373,0.5151,0.5882,4
Iporá,GO,0.0,-0.0864,-0.0661,0.0,-0.0424,-0.0017,0.0,0.4946,0.3793,0.4753,0.1646,0.2841,0.557,0.5797,0.6571,0.1109,0.6276,0.6754,5
Israelândia,GO,0.0,-0.0852,-0.049,0.0,-0.0345,-0.0002,0.0,0.5451,0.4321,0.3675,0.1752,0.2433,0.4333,0.4815,0.4859,0.1634,0.4922,0.5729,4
Itaguaru,GO,0.0,-0.0852,-0.0493,0.0027,-0.0433,0.0,0.0,0.7137,0.4337,0.5202,0.2296,0.393,0.6123,0.7588,0.6278,0.1649,0.6626,0.8061,5
Aruanã,GO,0.0,-0.0902,-0.099,0.0,-0.0788,-0.0121,0.0,0.5112,0.4365,0.3832,0.1841,0.1839,0.2662,0.2039,0.5775,0.1141,0.2719,0.1488,6
Rianápolis,GO,0.0,-0.0864,-0.0477,0.0031,-0.0478,0.0,0.0,0.5375,0.3839,0.5074,0.2729,0.4395,0.62,0.6521,0.6847,0.1396,0.6916,0.6288,8
Porteirão,GO,0.0,-0.0785,-0.0726,0.0051,-0.0313,0.0,0.0,0.4766,0.3187,0.7079,0.4253,0.2656,0.8235,0.8255,0.8216,0.2473,0.3177,0.6091,9
Porangatu,GO,0.0,-0.0787,-0.1107,0.0,-0.109,-0.0164,0.0,0.4861,0.3963,0.4421,0.2288,0.3275,0.469,0.3786,0.6746,0.1315,0.6141,0.4633,4
Portelândia,GO,0.0,-0.0923,-0.0217,0.0043,-0.0065,0.0063,0.0,0.6248,0.3862,0.5533,0.0728,0.0808,0.5797,0.6276,0.6288,0.0053,0.1677,0.6334,2
Itaguari,GO,0.0,-0.0845,-0.0609,0.0036,-0.0492,0.0,0.0,0.7881,0.3659,0.6695,0.2588,0.4558,0.7637,0.8355,0.793,0.086,0.6733,0.8302,3
Arenópolis,GO,0.0,-0.0883,-0.0627,0.0,-0.0428,-0.0041,0.0,0.4477,0.3748,0.4201,0.2219,0.2609,0.5025,0.5154,0.5873,0.1874,0.5164,0.6043,5
Hidrolina,GO,0.0,-0.0857,-0.0598,0.0,-0.0465,-0.0045,0.0,0.5614,0.509,0.3537,0.1616,0.2751,0.4478,0.5213,0.4546,0.1164,0.4097,0.5264,4
Iaciara,GO,-0.0184,-0.0389,-0.059,0.0027,-0.0457,0.0,-0.0413,0.5755,0.3575,0.5858,0.2083,0.4177,0.7398,0.7384,0.7149,0.1264,0.7464,0.7848,7
Posse,GO,-0.0177,-0.0369,-0.0455,0.0008,-0.038,0.0,-0.0358,0.5554,0.4471,0.4181,0.1123,0.329,0.5155,0.5487,0.5395,0.043,0.5292,0.5899,8
Aragarças,GO,0.0,-0.0903,-0.0504,0.0,-0.0363,-0.002,0.0,0.4698,0.3786,0.3566,0.1878,0.2238,0.2326,0.1881,0.5272,0.1581,0.2185,0.1372,5
Hidrolândia,GO,0.0,-0.0798,-0.0353,0.0067,-0.0334,0.0,0.0,0.7197,0.4888,0.5352,0.2164,0.3458,0.6314,0.7046,0.667,0.0894,0.6029,0.7243,4
Aporé,GO,-0.0,-0.0829,-0.0286,0.0105,-0.0018,0.0,0.0,0.0958,0.4139,0.5677,0.2106,0.022,0.6485,0.6539,0.7551,0.1313,0.711,0.6545,2
Araçu,GO,0.0,-0.0828,-0.0542,0.0048,-0.0418,0.0019,0.0,0.8445,0.4253,0.6569,0.2495,0.4025,0.7272,0.8225,0.7739,0.1277,0.738,0.8513,3
Ipameri,GO,0.0,-0.0788,-0.0086,0.0099,-0.0212,0.0,0.0032,0.6336,0.4064,0.4201,0.1266,0.2892,0.5304,0.592,0.5462,0.0369,0.3253,0.6117,0
