segment,factor,weight,variance_share
soybean,terr_slope,0.32,0.782
soybean,soil_clay,0.24,0.217
soybean,clim_twarm_q,0.14,0.0
soybean,soil_ph,0.11,0.001
soybean,clim_pr_annual,0.1,0.0
soybean,clim_aridity,0.09,0.0
sugarcane,terr_slope,0.26,0.308
sugarcane,soil_awc,0.22,-0.0
sugarcane,soil_clay,0.22,0.693
sugarcane,clim_twarm_q,0.14,-0.001
sugarcane,clim_pr_annual,0.1,0.0
sugarcane,clim_dry_months,0.06,0.0
other_crops,terr_slope,0.34,0.991
other_crops,soil_soc,0.23,0.012
other_crops,clim_gdd,0.15,-0.001
other_crops,soil_ph,0.11,-0.003
other_crops,clim_pr_annual,0.09,0.0
other_crops,clim_pr_cv,0.08,0.001
pisciculture,terr_slope,0.27,0.411
pisciculture,soil_clay,0.25,-0.006
pisciculture,sit_water_dist_seas,0.24,0.44
pisciculture,water_drain_density,0.14,0.152
pisciculture,clim_twarm_q,0.1,0.004
cattle,clim_pr_annual,0.1,0.0
cattle,clim_dry_months,0.08,-0.0
cattle,clim_soil_moist,0.28,0.581
cattle,terr_slope,0.2,0.158
cattle,soil_soc,0.34,0.261
conservation,cv_pa_dist,0.17,0.306
conservation,cv_carbon,0.12,0.069
conservation,cv_ruggedness,0.15,0.233
conservation,terr_twi,0.13,-0.011
conservation,rl_native_frac,0.1,0.224
conservation,clim_aridity,0.1,-0.015
conservation,terr_slope,0.09,0.144
conservation,clim_twarm_q,0.08,0.013
conservation,water_drain_density,0.06,0.036
solar,clim_srad,0.22,0.36
solar,sit_clearness,0.22,0.387
solar,terr_northing,0.15,0.184
solar,terr_slope,0.17,0.05
solar,access_logtt,0.14,0.023
solar,clim_twarm_q,0.1,-0.004
