group,radius_m,mean_std,median_std,n
access,250,0.022309365388331268,0.015922777971214098,4483
climate,250,0.001365316894426327,0.0012636638518738993,4483
phenology,250,0.0023492957393016407,0.0019350051048201645,4483
terrain_soil,250,0.43743193138135095,0.40569760989951176,4483
water,250,0.06928968010763853,0.004517844759101597,4483
access,750,0.050708250359050626,0.03679293703942744,4480
climate,750,0.003302839399993735,0.003056635057995346,4480
phenology,750,0.005605588306281635,0.0046886702346406964,4480
terrain_soil,750,0.6546870611913084,0.622376725517358,4480
water,750,0.1485144072906368,0.010938289248613776,4480
access,4750,0.1904186329290915,0.1460702400899961,4479
climate,4750,0.021309629455984292,0.01880830239679922,4479
phenology,4750,0.034254295295260674,0.029299868125608752,4479
terrain_soil,4750,0.9003121606996982,0.8785858846974444,4479
water,4750,0.47434221879529487,0.39233513007590043,4479
