k,inertia,silhouette,davies_bouldin,gap,s_k,ari,ari_std
2,131334.81758282642,0.18635133410460203,1.868516645887513,1.9586768157063368,0.00208171064039464,0.9789540058863787,0.011839949214630519
3,115275.56668182125,0.18633785631293745,1.8449533600346337,2.005379052303393,0.001307366468250853,0.9827495535613999,0.005532387436889974
4,104989.10735995742,0.16869670025351155,1.8796273730775739,2.0267148891091704,0.0022186418983865135,0.8511520226205382,0.23115839341553387
5,96306.51923628518,0.16879854785671455,1.7352775557589546,2.063663733456657,0.0018021540149202827,0.9644672018916651,0.015314223132333781
6,89689.50359659921,0.1713466483870596,1.6539223704625894,2.085755269797561,0.0025168017343174974,0.8878705866331218,0.11445073233410445
7,83951.75195114783,0.17163398588016668,1.5246845833050398,2.1108117899719936,0.002409345121260328,0.6872914495943699,0.22478633719306623
8,79192.3793425576,0.17584156828790948,1.5086910106603115,2.125454162941205,0.002981537012163356,0.7865236677018874,0.20707707861925262
9,74385.6454572446,0.17836159426980283,1.533939793497053,2.152515656027921,0.001973248163694723,0.9700907070556426,0.010956419229920005
10,70658.81041410194,0.18706840994119833,1.5255776556732148,2.1721947882526447,0.001694685567628032,0.961869759957024,0.016276000722839405
11,67987.03503988418,0.1769107659222408,1.510322496796726,2.185462034109891,0.0021473823348812458,0.887166075637399,0.10354576906034207
12,65523.13053978566,0.17684490228738123,1.5130079967740606,2.199006851808342,0.0013380260766329018,0.8364451730714825,0.14637969115360575
13,63612.858227216704,0.18168198855754217,1.5217581813144179,2.202238392330079,0.0018024372244562815,0.7801047254412062,0.11022765732846429
14,61943.17334085931,0.17522334515169405,1.5338836152863429,2.206205775098363,0.002018934060977093,0.7114270545521321,0.09743235722183001
15,60364.44358890187,0.1675881469575172,1.5565629789250575,2.2012804522706766,0.002182432077911643,0.6758371662689294,0.09423267442171226
16,58790.61300153292,0.1609338324554841,1.5674435507735387,2.1972362542588613,0.0018853656852037136,0.6933803640381041,0.08745418772301339
17,57380.86853790513,0.16736733042034765,1.5132283157518196,2.2084263494429006,0.0022661469950057654,0.6913098597416233,0.10411213349486544
18,56202.06340656917,0.16816915567109478,1.525161724480898,2.2226826637613435,0.0015137241884618624,0.6986120131670298,0.08738138663417332
19,54877.42245359637,0.17397241407864025,1.5043253063818627,2.227153577022275,0.0021419265129388287,0.7228362382228822,0.08250013374295655
20,54083.20705029199,0.17300025297788243,1.5393544159573167,2.236248678543097,0.0026087625156596193,0.694226840209536,0.07470635121373297
